"GB" "gamma"
"GB45821" 0.216219117663078
"GB45878" 0.326544783593603
"GB45820" 0.335243074463862
"GB45879" 0.496753892154899
"GB45880" -0.385893726428311
"GB45819" 0.759843415558909
"GB45818" -0.0864697207301152
"GB45881" 0.0867235940899369
"GB45882" 0.737200407992558
"GB45817" 0.0841357485118178
"GB45815" 1.02641328066121
"GB45883" 0.0545261369364257
"GB45884" 0.506383388207165
"GB45814" -0.0712372225446051
"GB45885" 0.562074270442997
"GB45813" -0.212507948433343
"GB45812" 0.204228215690316
"GB45886" 1.17285421265066
"GB45811" 0.383653440122378
"GB45810" 0.674526520718948
"GB45887" -0.477653082558324
"GB45809" -0.00227169005924388
"GB40869" -0.10840582861163
"GB40870" -0.147962090466127
"GB40871" 0.323142158273373
"GB40868" -0.674404977125738
"GB46538" -0.531914392929375
"GB46537" 0.434900191419882
"GB46539" -0.561449605734302
"GB46536" 0.161109735716853
"GB46540" -1.0016596482961
"GB46541" -0.387920324324931
"GB46535" 1.33105972450371
"GB46542" -0.281808406852679
"GB46543" 0.370200252770685
"GB46544" 0.00901343606893264
"GB46534" -0.059690435833105
"GB46533" 0.353446263398221
"GB46532" -0.57587687430454
"GB46531" -0.769300826189395
"GB46530" -0.459841052153463
"GB46545" -0.290881010228645
"GB46546" -0.49532731469411
"GB46547" 0.38914190984854
"GB46548" -0.529933456315562
"GB41056" -1.09636063593649
"GB41053" 0.0664496011250242
"GB41052" 6.79338011956523
"GB41051" 0.495888103562007
"GB41050" 3.3994641260267
"GB41049" -0.447538633254115
"GB41048" -0.616495286214338
"GB41059" -0.636500098758224
"GB41047" 0.152758508815182
"GB41060" -0.52304703157369
"GB41046" -0.72757018817824
"GB41045" -0.482928402365084
"GB41043" 0.195699213393862
"GB41063" -0.291206712503972
"GB41042" -0.405515582675242
"GB41041" -0.441925869983724
"GB41064" -0.220889234237858
"GB41065" 0.663671629724622
"GB41039" -0.274807869126245
"GB41066" -0.0914995723524646
"GB41038" 1.47934071722714
"GB41067" 0.113862250947346
"GB41037" -0.227537237715225
"GB41068" 0.531436722924467
"GB41069" 0.0341803665258747
"GB41036" 0.108191493140581
"GB41070" -0.337141633429059
"GB41035" 0.316708723217851
"GB41073" 0.0389743026027713
"GB41074" 0.681315969582475
"GB41034" -0.412079551789811
"GB41033" 0.551055867219087
"GB41032" -0.283788614049908
"GB41075" -0.441521698123178
"GB41076" 0.211307478391799
"GB41031" -0.267837585060407
"GB41078" -0.601802126069539
"GB41030" -0.610284631974127
"GB41029" 0.222542397185937
"GB41028" -0.402525728419894
"GB41079" -0.336908694994933
"GB41080" -0.549161658021443
"GB41082" -0.249205142019752
"GB41083" 0.28491965266762
"GB41027" -0.506706832737953
"GB41084" -0.489773658876162
"GB41026" -0.360396404773963
"GB41025" -0.0731445992238872
"GB41085" -0.428873294682416
"GB41024" -0.814895598748056
"GB43011" 0.634956885949133
"GB43010" -0.526758194900683
"GB43012" -0.16209508298354
"GB43013" -0.154554306188577
"GB43009" -0.183219331467822
"GB43014" 0.512060283645376
"GB43007" 0.49787272743235
"GB43006" 2.50898237144599
"GB43005" 1.84662298502589
"GB43015" -0.0428419352266464
"GB43016" 0.590843465640212
"GB43004" 0.270577660590039
"GB43017" -0.197589405237824
"GB43003" 0.552852027456119
"GB43018" -0.167289221989376
"GB43019" -0.456091955185278
"GB43020" -0.205195526848408
"GB48976" 0.82082905215508
"GB48975" -0.401863289208114
