GB	cluster
GB48894	C4
GB48897	C4
GB48913	C3
GB48923	C1
GB48928	C6
GB48929	C1
GB48933	C3
GB48937	C4
GB48946	C1
GB48951	C1
GB48955	C1
GB48960	C3
GB48962	C5
GB48972	C3
GB48981	C2
GB48983	C6
GB48999	C3
GB49001	C1
GB49018	C7
GB49026	C5
GB49027	C1
GB49033	C4
GB49038	C4
GB49040	C1
GB49046	C3
GB49047	C1
GB49082	C6
GB49086	C4
GB49090	C2
GB49105	C8
GB49106	C1
GB49119	C3
GB49123	C8
GB49129	C8
GB49155	C1
GB49160	C2
GB49166	C2
GB49169	C1
GB49193	C3
GB49222	C4
GB49235	C5
GB49239	C8
GB49244	C1
GB49265	C3
GB49281	C2
GB49291	C7
GB49297	C2
GB49315	C7
GB49320	C2
GB49324	C4
GB49326	C1
GB49341	C6
GB49369	C7
GB49370	C1
GB49373	C3
GB49399	C1
GB49409	C1
GB49412	C1
GB49415	C8
GB49425	C1
GB49426	C1
GB49429	C3
GB49438	C2
GB49445	C7
GB49450	C6
GB49475	C8
GB49481	C8
GB49487	C6
GB49490	C2
GB49492	C1
GB49526	C4
GB49527	C1
GB49535	C3
GB49538	C1
GB49539	C2
GB49541	C8
GB49548	C3
GB49558	C6
GB49562	C3
GB49589	C7
GB49598	C2
GB49611	C4
GB49622	C2
GB49623	C1
GB49628	C2
GB49638	C6
GB49643	C3
GB49654	C1
GB49657	C2
GB49660	C3
GB49686	C4
GB49691	C6
GB49712	C8
GB49726	C4
GB49728	C8
GB49754	C1
GB49762	C1
GB49768	C3
GB49769	C1
GB49769	C1
GB49770	C2
GB49781	C1
GB49807	C4
GB49830	C5
GB49869	C1
GB49882	C2
GB49884	C6
GB49885	C4
GB49894	C2
GB49918	C1
GB49924	C2
GB49927	C2
GB49933	C5
GB49936	C1
GB49939	C2
GB49943	C5
GB49943	C5
GB49944	C2
GB49953	C1
GB49953	C2
GB49959	C8
GB49969	C3
GB49975	C1
GB49979	C3
GB49988	C2
GB49992	C8
GB50020	C2
GB50026	C2
GB50038	C1
GB50042	C1
GB50048	C6
GB50054	C6
GB50071	C5
GB50074	C3
GB50083	C8
GB50088	C6
GB50103	C1
GB50128	C1
GB50148	C2
GB50158	C4
GB50159	C4
GB50159	C4
GB50183	C2
GB50185	C5
GB50189	C8
GB50194	C5
GB50215	C2
GB50216	C1
GB50232	C3
GB50235	C2
GB50236	C7
GB50244	C1
GB50245	C2
GB50255	C1
GB50257	C4
GB50269	C2
GB50288	C6
GB50289	C2
GB50289	C5
GB50322	C5
GB50323	C4
GB50336	C3
GB50342	C3
GB50347	C1
GB50348	C7
GB50350	C3
GB50354	C1
GB50355	C6
GB50357	C3
GB50366	C4
GB50370	C5
GB50371	C8
GB50372	C2
GB50375	C3
GB50377	C1
GB50415	C3
GB50420	C8
GB50421	C7
GB50433	C2
GB50435	C3
GB50453	C2
GB50453	C2
GB50497	C5
GB50498	C5
GB50514	C1
GB50515	C1
GB50516	C3
GB50524	C1
GB50534	C1
GB50563	C2
GB50570	C1
GB50589	C1
