GB	connectedness	gamma
GB40980	3	TARG
GB53650	3	TARG
GB54203	3	TARG
GB43706	2	TARG
GB49412	1	TARG
GB52197	5	TARG
GB52236	4	TARG
GB45688	3	TARG
GB46371	3	TARG
GB54802	2	TARG
GB52527	4	TARG
GB40624	5	TARG
GB43004	2	TARG
GB41807	6	TARG
GB53682	3	TARG
GB47724	4	TARG
GB44216	4	TARG
GB43728	2	TARG
GB55016	3	TARG
GB41908	2	TARG
GB42866	4	TARG
GB44330	2	TARG
GB44981	1	TARG
GB50420	4	TARG
GB40931	3	TARG
GB46074	4	TARG
GB42567	3	TARG
GB53876	4	TARG
GB54683	6	TARG
GB51911	6	TARG
GB49244	4	TARG
GB55888	1	TARG
GB53388	3	TARG
GB43054	3	TARG
GB47224	4	TARG
GB49691	1	TARG
GB55528	4	TARG
GB46878	4	TARG
GB42671	4	TARG
GB44052	4	TARG
GB42644	3	TARG
GB41801	4	TARG
GB40206	1	TARG
GB50563	2	TARG
GB46145	1	TARG
GB53539	2	TARG
GB49643	4	TARG
GB45878	4	TARG
GB43567	2	TARG
GB45261	4	TARG
GB45224	2	TARG
GB44053	2	TARG
GB50763	3	TARG
GB51614	4	TARG
GB43203	3	TARG
GB43507	4	TARG
GB52316	2	TARG
GB41602	3	TARG
GB53909	2	TARG
GB55797	3	TARG
GB50751	4	TARG
GB54625	4	TARG
GB55943	2	TARG
GB51550	4	TARG
GB42377	2	TARG
GB47632	3	TARG
GB50516	3	TARG
GB50415	3	TARG
GB50993	4	TARG
GB53791	7	TARG
GB54295	3	TARG
GB44626	3	TARG
GB48845	2	TARG
GB53132	4	TARG
GB55760	6	TARG
GB48829	4	TARG
GB41690	4	TARG
GB53713	2	TARG
GB52647	4	TARG
GB51134	3	TARG
GB46696	3	TARG
GB48527	3	TARG
GB52880	6	TARG
GB49027	2	TARG
GB48937	4	TARG
GB42000	2	TARG
GB53409	3	TARG
GB45029	3	TARG
GB50672	6	TARG
GB44697	4	TARG
GB53565	2	TARG
GB46277	2	TARG
GB52953	1	TARG
GB43989	4	TARG
GB51646	4	TARG
GB49768	3	TARG
GB53647	2	TARG
GB42577	3	TARG
GB50858	2	TARG
GB42666	4	TARG
GB50255	3	TARG
GB54391	1	TARG
GB43482	4	TARG
GB45854	1	TARG
GB51278	5	TARG
GB51624	4	TARG
GB51173	2	TARG
GB45272	3	TARG
GB43125	3	TARG
GB44533	4	TARG
GB52343	1	TARG
GB53493	2	TARG
GB51984	2	TARG
GB48709	2	TARG
GB54198	4	TARG
GB43263	2	TARG
GB52723	4	TARG
GB54714	3	TARG
GB52331	4	TARG
GB48828	3	TARG
GB54387	1	TARG
GB44020	3	TARG
GB42555	6	TARG
GB40785	3	TARG
GB40113	5	TARG
GB50323	2	TARG
GB54606	4	TARG
GB43120	4	TARG
GB43713	2	TARG
GB50054	1	TARG
GB47112	2	TARG
GB44134	6	TARG
GB47009	2	TARG
GB47576	3	TARG
GB52768	5	TARG
GB51163	3	TARG
GB42152	3	TARG
GB41412	3	TARG
GB40654	2	TARG
GB51748	5	TARG
GB46740	3	TARG
GB51802	2	TARG
GB42448	3	TARG
GB54420	2	TARG
GB47847	2	TARG
GB48684	3	TARG
GB49341	2	TARG
GB45399	3	TARG
GB44876	2	TARG
GB50805	5	TARG
GB50245	3	TARG
GB45713	4	TARG
GB48481	2	TARG
GB47392	4	TARG
GB49324	3	TARG
GB49445	3	TARG
GB50083	3	TARG
GB45662	4	TARG
GB42561	4	TARG
GB50269	4	TARG
GB50822	3	TARG
GB52685	4	TARG
GB53701	2	TARG
GB41831	2	TARG
GB47496	3	TARG
GB42482	2	TARG
GB49936	5	TARG
GB52600	2	TARG
GB52631	5	TARG
GB50880	3	TARG
GB55017	3	TARG
GB49265	3	TARG
GB48962	3	TARG
GB46436	5	TARG
GB46338	3	TARG
GB49781	5	TARG
GB55434	2	TARG
GB42731	4	TARG
GB49119	3	TARG
GB49979	5	TARG
GB44019	3	TARG
GB45670	4	TARG
GB41391	4	TARG
GB49686	3	TARG
GB42369	3	TARG
GB43111	4	TARG
GB40386	3	TARG
GB41250	2	TARG
GB47372	3	TARG
GB53649	4	TARG
GB44144	3	TARG
GB50890	4	TARG
GB54862	4	TARG
GB49235	3	TARG
GB44059	3	TARG
GB41562	3	TARG
GB48641	2	TARG
GB45341	4	TARG
GB43543	3	TARG
GB41900	3	TARG
GB46388	2	TARG
GB55395	1	TARG
GB50088	2	TARG
GB49475	3	TARG
GB50691	4	TARG
GB40145	3	TARG
GB52428	3	TARG
GB43448	4	TARG
GB54364	3	TARG
GB49166	4	TARG
GB49370	4	TARG
GB50235	4	TARG
GB50594	3	TARG
GB53294	3	TARG
GB52010	5	TARG
GB42615	3	TARG
GB40263	5	TARG
GB50690	3	TARG
GB51380	1	TARG
GB48165	5	TARG
GB52084	3	TARG
GB46006	3	TARG
GB41252	5	TARG
GB50623	4	TARG
GB51749	4	TARG
GB41065	2	TARG
GB49326	3	TARG
GB43091	3	TARG
GB54743	3	TARG
GB55247	3	TARG
GB54170	3	TARG
GB52526	3	TARG
GB43295	6	TARG
GB43814	2	TARG
GB41895	4	TARG
GB47385	6	TARG
GB53139	2	TARG
GB47823	3	TARG
GB45279	2	TARG
GB44796	3	TARG
GB42215	1	TARG
GB48981	3	TARG
GB55364	4	TARG
GB44251	3	TARG
GB45235	4	TARG
GB54145	3	TARG
GB44968	2	TARG
GB41569	1	TARG
GB48065	3	TARG
GB52052	1	TARG
GB44606	4	TARG
GB45819	1	TARG
GB49481	3	TARG
GB43901	1	TARG
GB46881	3	TARG
GB49660	4	TARG
GB42043	8	TARG
GB43716	1	TARG
GB54410	2	TARG
GB49033	3	TARG
GB45087	4	TARG
GB53769	4	TARG
GB55413	4	TARG
GB40716	3	TARG
GB53229	3	TARG
GB41372	8	TARG
GB55843	4	TARG
GB44163	3	TARG
GB46601	4	TARG
GB55575	3	TARG
GB55877	3	TARG
GB52469	3	TARG
GB48447	2	TARG
GB41888	3	TARG
GB43275	3	TARG
GB40926	2	TARG
GB51115	3	TARG
GB52744	2	TARG
GB48128	3	TARG
GB42083	2	TARG
GB44873	4	TARG
GB53840	3	TARG
GB44060	3	TARG
GB40168	2	TARG
GB44112	2	TARG
GB42858	2	TARG
GB46513	5	TARG
GB40615	3	TARG
GB47200	1	TARG
GB47266	5	TARG
GB52798	3	TARG
GB48789	3	TARG
GB54371	3	TARG
GB53490	2	TARG
GB54240	3	TARG
GB42728	6	TARG
GB42851	2	TARG
GB51048	2	TARG
GB40513	4	TARG
GB42752	1	TARG
GB53014	3	TARG
GB51537	2	TARG
GB51843	3	TARG
GB45683	3	TARG
GB44280	1	TARG
GB52717	3	TARG
GB43719	5	TARG
GB52063	4	TARG
GB49770	5	TARG
GB48152	2	TARG
GB45972	3	TARG
GB51916	2	TARG
GB45907	1	TARG
GB51602	3	TARG
GB43800	2	TARG
GB53861	3	TARG
GB42894	4	TARG
GB45667	4	TARG
GB48114	3	TARG
GB41344	2	TARG
GB45128	3	TARG
GB46986	3	TARG
GB54508	3	TARG
GB45651	3	TARG
GB47779	2	TARG
GB44485	4	TARG
GB42223	3	TARG
GB54728	3	TARG
GB44121	3	TARG
GB43118	4	TARG
GB48344	3	TARG
GB50943	4	TARG
GB47992	3	TARG
GB42355	2	TARG
GB44467	5	TARG
GB45933	5	TARG
GB55619	3	TARG
GB43222	1	TARG
GB41659	3	TARG
GB41397	7	TARG
GB49018	2	TARG
GB52767	3	TARG
GB40196	2	TARG
GB54935	4	TARG
GB40806	3	TARG
GB45101	4	TARG
GB46914	2	TARG
GB50945	3	TARG
GB53013	2	TARG
GB51481	3	TARG
GB54234	3	TARG
GB52402	3	TARG
GB42732	6	TARG
GB49918	4	TARG
GB50742	3	TARG
GB51188	3	TARG
GB40118	1	TARG
GB53428	3	TARG
GB52196	5	TARG
GB42678	2	TARG
GB48960	4	TARG
GB52783	4	TARG
GB44946	1	TARG
GB54851	4	TARG
GB44185	2	TARG
GB55429	3	TARG
GB55650	2	TARG
GB41960	4	TARG
GB51276	3	TARG
GB55237	3	TARG
GB53015	3	TARG
GB47300	4	TARG
GB49169	2	TARG
GB40769	2	TARG
GB55591	2	TARG
GB53748	1	TARG
GB42856	5	TARG
GB44648	4	TARG
GB45248	3	TARG
GB54724	3	TARG
GB54128	3	TARG
GB49562	4	TARG
GB42597	3	TARG
GB52118	3	TARG
GB44129	4	TARG
GB43618	3	TARG
GB43710	2	TARG
GB50026	3	TARG
GB44889	3	TARG
GB46360	4	TARG
GB40734	3	TARG
GB44987	3	TARG
GB54404	3	TARG
GB47217	4	TARG
GB44799	4	TARG
GB48623	4	TARG
GB54643	4	TARG
GB47516	3	TARG
GB43231	3	TARG
GB46729	2	TARG
GB54942	6	TARG
GB53327	5	TARG
GB49129	3	TARG
GB44223	4	TARG
GB52369	2	TARG
GB42849	3	TARG
GB55357	2	TARG
GB55393	3	TARG
GB49106	3	TARG
GB44671	3	TARG
GB45862	4	TARG
GB42072	2	TARG
GB48227	2	TARG
GB41097	4	TARG
GB44092	4	TARG
GB44070	2	TARG
GB55499	3	TARG
GB49885	2	TARG
GB43526	2	TARG
GB50148	3	TARG
