GB	connectedness	gamma
GB51110	3	TARG
GB41046	3	TARG
GB45666	4	TARG
GB44131	2	TARG
GB49988	2	TARG
GB40270	3	TARG
GB42793	3	TARG
GB45260	1	TARG
GB44180	3	TARG
GB47258	1	TARG
GB50232	3	TARG
GB44307	4	TARG
GB40634	3	TARG
GB50236	2	TARG
GB53948	4	TARG
GB44881	4	TARG
GB52120	4	TARG
GB41872	7	TARG
GB44629	4	TARG
GB44369	3	TARG
GB43906	3	TARG
GB40868	1	TARG
GB50942	5	TARG
GB54812	2	TARG
GB45038	3	TARG
GB40515	5	TARG
GB52660	4	TARG
GB45822	3	TARG
GB45223	3	TARG
GB54377	3	TARG
GB51694	3	TARG
GB48983	2	TARG
GB48215	3	TARG
GB41141	4	TARG
GB44899	3	TARG
GB43218	4	TARG
GB48533	3	TARG
GB40092	3	TARG
GB42670	2	TARG
GB45636	5	TARG
GB40773	3	TARG
GB43863	3	TARG
GB42744	3	TARG
GB42516	3	TARG
GB49894	3	TARG
GB47199	4	TARG
GB44030	4	TARG
GB51707	3	TARG
GB53976	3	TARG
GB41688	3	TARG
GB47045	5	TARG
GB43388	3	TARG
GB41213	2	TARG
GB50857	2	TARG
GB49425	3	TARG
GB44898	4	TARG
GB53394	3	TARG
GB45837	6	TARG
GB45194	2	TARG
GB42779	5	TARG
GB43553	5	TARG
GB44773	2	TARG
GB47599	4	TARG
GB50514	4	TARG
GB55482	4	TARG
GB53238	4	TARG
GB51160	4	TARG
GB54585	5	TARG
GB49415	1	TARG
GB52255	3	TARG
GB55102	3	TARG
GB47182	2	TARG
GB42564	2	TARG
GB43150	4	TARG
GB55008	1	TARG
GB54774	4	TARG
GB53174	3	TARG
GB44682	2	TARG
GB42651	4	TARG
GB43305	3	TARG
GB47813	4	TARG
GB50453	3	TARG
GB47617	2	TARG
GB49558	1	TARG
GB46928	5	TARG
GB44081	2	TARG
GB43712	3	TARG
GB51224	4	TARG
GB41159	5	TARG
GB52948	4	TARG
GB45699	4	TARG
GB44350	2	TARG
GB46962	4	TARG
GB51066	3	TARG
GB48369	3	TARG
GB49193	4	TARG
GB48113	3	TARG
GB46707	3	TARG
GB49882	4	TARG
GB44435	4	TARG
GB44300	2	TARG
GB55566	4	TARG
GB44317	4	TARG
GB41981	4	TARG
GB41499	6	TARG
GB55730	3	TARG
GB52349	4	TARG
GB47663	4	TARG
GB48350	4	TARG
GB44295	3	TARG
GB45517	2	TARG
GB41976	4	TARG
GB55891	4	TARG
GB46465	5	TARG
GB41740	2	TARG
GB47098	2	TARG
GB41198	6	TARG
GB51606	2	TARG
GB44540	2	TARG
GB52012	3	TARG
GB44000	3	TARG
GB40750	3	TARG
GB52743	3	TARG
GB47306	4	TARG
GB41858	4	TARG
GB42263	4	TARG
GB50978	5	TARG
GB51617	3	TARG
GB54971	4	TARG
GB52492	4	TARG
GB48854	5	TARG
GB48683	2	TARG
GB42958	4	TARG
GB40360	9	TARG
GB46766	5	TARG
GB52154	4	TARG
GB46767	2	TARG
GB45508	4	TARG
GB48928	1	TARG
GB41045	2	TARG
GB46466	3	TARG
GB43820	1	TARG
GB48189	7	TARG
GB53380	4	TARG
GB48933	5	TARG
GB47089	4	TARG
GB43180	4	TARG
GB40444	4	TARG
GB46743	6	TARG
GB55160	1	TARG
GB41335	4	TARG
GB54589	2	TARG
GB44694	3	TARG
GB51627	5	TARG
GB48075	2	TARG
GB50995	3	TARG
GB53228	2	TARG
GB55902	4	TARG
GB55522	3	TARG
GB44491	4	TARG
GB42848	3	TARG
GB54657	2	TARG
GB50753	5	TARG
GB41761	4	TARG
GB45342	5	TARG
GB45123	3	TARG
GB55919	3	TARG
GB47409	4	TARG
GB42816	1	TARG
GB51504	2	TARG
GB51204	2	TARG
GB44276	3	TARG
