GB	pattern
GB42086	C2
GB54397	C2
GB42810	C2
GB50491	C2
GB49769	C2
GB44430	C2
GB51963	C2
GB50993	C2
GB49264	C2
GB55263	C2
GB50136	C2
GB53761	C2
GB49974	C2
GB45820	C2
GB50083	C2
GB52792	C2
GB43912	C2
GB49864	C2
GB40895	C2
GB42211	C2
GB46369	C2
GB42266	C2
GB40071	C2
GB47679	C2
GB41873	C2
GB46907	C2
GB48105	C2
GB41583	C2
GB45423	C2
GB54974	C2
GB50990	C2
GB55106	C2
GB45803	C2
GB54752	C2
GB45960	C2
GB48046	C2
GB40434	C2
GB48645	C2
GB55135	C2
GB55010	C2
GB44783	C2
GB46908	C2
GB44385	C2
GB47833	C2
GB48331	C2
GB49786	C2
GB44946	C2
GB51628	C2
GB42935	C2
GB49753	C2
GB41356	C2
GB43417	C2
GB45583	C2
GB46616	C2
GB54388	C2
GB51030	C2
GB41362	C2
GB51739	C2
GB42071	C2
GB53726	C2
GB52986	C2
GB40556	C2
GB44071	C2
GB50375	C2
GB42654	C2
GB40872	C2
GB49307	C2
GB47500	C2
GB44721	C2
GB41139	C2
GB45934	C2
GB50272	C2
GB52800	C2
GB54596	C2
GB40357	C2
GB44299	C2
GB49192	C2
GB45646	C2
GB54976	C2
GB53133	C2
GB52157	C2
GB47659	C2
GB44984	C2
GB55642	C2
GB51950	C2
GB40561	C2
GB42899	C2
GB46272	C2
GB42851	C2
GB42419	C2
GB49989	C2
GB46178	C2
GB50216	C2
GB41181	C2
GB48199	C2
GB50030	C2
GB54660	C2
GB50601	C2
GB48222	C2
GB42075	C2
GB44415	C2
GB53379	C2
GB53667	C2
GB53840	C2
GB40511	C2
GB50085	C2
GB42488	C2
GB45831	C2
GB49579	C2
GB55457	C2
GB48152	C2
GB40674	C2
GB48314	C2
GB41197	C2
GB54191	C2
GB54964	C2
GB44768	C2
GB44769	C2
GB44763	C2
GB47847	C2
GB51442	C2
GB52779	C2
GB49022	C2
GB55708	C2
GB48771	C2
GB54113	C2
GB43875	C2
GB53626	C2
GB50995	C2
GB53381	C2
GB42420	C2
GB45254	C2
GB41923	C2
GB43822	C2
GB50253	C2
GB42016	C2
GB44895	C2
GB49706	C2
GB52009	C2
GB52236	C2
GB52153	C2
GB46992	C2
GB44683	C2
GB52762	C2
GB48510	C2
GB51699	C2
GB46155	C2
GB46793	C2
GB40444	C2
GB43037	C2
GB42298	C2
GB53208	C2
GB49114	C2
GB49186	C2
GB49185	C2
GB54120	C2
GB42023	C2
GB49468	C2
GB42447	C2
GB49504	C2
GB53185	C2
GB40509	C2
GB45568	C2
GB52987	C2
GB44436	C2
GB45535	C2
GB45779	C2
GB47905	C2
GB45637	C2
GB44776	C2
GB41804	C2
GB48944	C2
GB42796	C2
GB49956	C2
GB50748	C2
GB43781	C2
GB43787	C2
GB50980	C2
GB55288	C2
GB54993	C2
GB44880	C2
GB46610	C2
GB55107	C2
GB47067	C2
GB51849	C2
GB54971	C2
GB43858	C2
GB55281	C2
GB44022	C2
GB47826	C2
GB42778	C2
GB55563	C2
GB51366	C2
GB40705	C2
GB43991	C2
GB50209	C2
GB55001	C2
GB47755	C2
GB43106	C2
GB51635	C2
GB53699	C2
GB48372	C2
GB46462	C2
GB43147	C2
GB43509	C2
GB42512	C2
GB45738	C2
GB53435	C2
GB55461	C2
GB41333	C2
GB42492	C2
GB51561	C2
GB44777	C2
GB54816	C2
GB45634	C2
GB53239	C2
GB51186	C2
GB41692	C2
GB43706	C2
GB48264	C2
GB49487	C2
GB53270	C2
GB54368	C2
GB43124	C2
GB50625	C2
GB54189	C2
GB46534	C2
GB48349	C2
GB50281	C2
GB55022	C2
GB55571	C2
GB47443	C2
GB43819	C2
GB40862	C2
GB52651	C2
GB43114	C2
GB41484	C2
GB54129	C2
GB44870	C2
GB43703	C2
GB48267	C2
GB49432	C2
GB47328	C2
GB42750	C2
GB48845	C2
GB54719	C2
GB45357	C2
GB55476	C2
GB54462	C2
GB48535	C2
GB42672	C2
GB49226	C2
GB50966	C2
GB41485	C2
GB47464	C2
GB48312	C2
GB51911	C2
GB46281	C2
GB48709	C2
GB46253	C2
GB42038	C2
GB44926	C2
GB50214	C2
GB52575	C2
GB51005	C2
GB49709	C2
GB53615	C2
GB43211	C2
GB40013	C2
GB41871	C2
GB47109	C2
GB42330	C2
GB40259	C2
GB55334	C2
GB53361	C2
GB40122	C2
GB41792	C2
GB50779	C2
GB48492	C2
GB51345	C2
GB43692	C2
GB41276	C2
GB48207	C2
GB48289	C2
GB42863	C2
GB54490	C2
GB48309	C2
GB49349	C2
GB44251	C2
GB46654	C2
GB48402	C2
GB46449	C2
GB54940	C2
GB55508	C2
GB46595	C2
GB46988	C2
GB48617	C2
GB42960	C2
GB50183	C2
GB48299	C2
GB53774	C2
GB41737	C2
GB47655	C2
GB45709	C2
GB47181	C2
GB50347	C2
GB43438	C2
GB46892	C2
GB44360	C2
GB49118	C2
GB44573	C2
GB46882	C2
GB47626	C2
GB53647	C2
GB44337	C2
GB53410	C2
GB51122	C2
GB43163	C2
GB47272	C2
GB44285	C2
