GB	pattern
GB54908	C1
GB54734	C1
GB54730	C1
GB54721	C1
GB54532	C1
GB54356	C1
GB54142	C1
GB53886	C1
GB53785	C1
GB53525	C1
GB53452	C1
GB53211	C1
GB53108	C1
GB52974	C1
GB52822	C1
GB52332	C1
GB52330	C1
GB52243	C1
GB52170	C1
GB52094	C1
GB52093	C1
GB52038	C1
GB51668	C1
GB51566	C1
GB51187	C1
GB50888	C1
GB50407	C1
GB50406	C1
GB50301	C1
GB50151	C1
GB50121	C1
GB50009	C1
GB50008	C1
GB50007	C1
GB49839	C1
GB49804	C1
GB49565	C1
GB49563	C1
GB49195	C1
GB49194	C1
GB49121	C1
GB48917	C1
GB48815	C1
GB48808	C1
GB48807	C1
GB48764	C1
GB48763	C1
GB48376	C1
GB48342	C1
GB48256	C1
GB47875	C1
GB47711	C1
GB47669	C1
GB47300	C1
GB47081	C1
GB46718	C1
GB46712	C1
GB46711	C1
GB46662	C1
GB46524	C1
GB46489	C1
GB46488	C1
GB46435	C1
GB46150	C1
GB46090	C1
GB45118	C1
GB44644	C1
GB44626	C1
GB44590	C1
GB44560	C1
GB44348	C1
GB44179	C1
GB44118	C1
GB44019	C1
GB43922	C1
GB43503	C1
GB43309	C1
GB43227	C1
GB43206	C1
GB43202	C1
GB43201	C1
GB43137	C1
GB43130	C1
GB43120	C1
GB43091	C1
GB43090	C1
GB42802	C1
GB42583	C1
GB42300	C1
GB42182	C1
GB42164	C1
GB42149	C1
GB42148	C1
GB41942	C1
GB41767	C1
GB41766	C1
GB41699	C1
GB41642	C1
GB41572	C1
GB40979	C1
GB40828	C1
GB40759	C1
GB40758	C1
GB40713	C1
GB40644	C1
